"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"UGT2A1",637.633849998396,2.67221656937843,0.143591458504734,1.32158517266038e-78,2.64237739421716e-74
"RNASE11",462.010593462763,7.04252111627369,0.431702739223463,3.94226667332166e-61,3.94108399331966e-57
"C1orf68",100.045037110361,15.7176725338466,3.72468865148367,1.20750389297004e-58,8.04761094534769e-55
"AHSP",32.6523671075646,6.03506816163375,1.70760025106918,3.35962837490561e-58,1.67931024319657e-54
"CDX4",59.7763103311044,13.5442661895717,3.56383886079909,3.43193413425107e-57,1.37236182160432e-53
"OR4D11",37.7669607367083,12.8444451851785,3.47773750078445,6.57428811369575e-57,2.19077194242055e-53
"OR2G2",47.0255991796364,13.1467911673686,3.56024038663343,1.38552672529366e-54,3.95746019221733e-51
"LCE1D",58.1441662111308,5.63355536579398,1.76010933471113,6.21164532317868e-54,1.55244545739543e-50
"DKFZP434O1614",54.8538975587888,13.3437837990727,3.63324863580538,1.22324113533899e-49,2.71749813999641e-46
"LCE6A",82.6195011927295,6.18333364549081,1.89364001719244,8.96076557899926e-48,1.79161546986511e-44
"C8orf22",54.5963485001036,3.90415982818894,2.65274723324716,1.98227523511509e-46,3.60305555008102e-43
"UGT2A2",13.9353492092839,1.1209471800408e-06,0.00144269525139319,4.05758849219058e-45,6.7606186927382e-42
"MFRP",244.735706132604,3.4884095399234,0.257239899367235,3.30651756475285e-43,5.08542401458989e-40
"PP13004",24.4993836919854,11.9516181736697,3.59322083859417,5.17175198798505e-43,7.38600066055522e-40
"KRTAP10-6",45.8392569164051,13.0449116650993,3.61619715355677,6.43666525836274e-42,8.5796456783803e-39
"LELP1",21.6541810414017,11.7744398562654,3.55020771091693,1.20270860445516e-41,1.50293473984228e-38
"SOX7",5079.16467013968,2.77994460135586,0.213572241989712,4.66887221155649e-40,5.49114299987414e-37
"LCE3E",59.4458974401993,5.32258263419228e-07,0.00144269484644876,1.83086013761869e-39,2.033678755086e-36
"GABRG1",24.7816243804956,1.38108240304339e-06,0.00144269536760257,4.04937981248698e-39,4.26122631425604e-36
"PRAMEF26",29.0833589607565,8.95453156090984e-07,0.00144269517539429,8.23482759895495e-39,8.23235715067526e-36
"OR2T6",58.9783391109816,13.2880615680969,3.81416865271498,1.05495487067601e-38,1.004417508776e-35
"PGK2",66.7497024692966,7.46486493196985e-07,0.00144269511178384,9.27574432829972e-38,8.42996509545567e-35
"CCDC177",733.017218074653,4.24289410041392,0.33683343545772,1.09090160058961e-37,9.48325504442983e-35
"OR2T4",20.2166075711819,8.72599372802072e-07,0.00144269516792766,1.33563218972175e-37,1.1126929167207e-34
"OR4D9",17.1192229403964,8.71655166127997e-07,0.00144269516734518,5.81041047208648e-37,4.64693387915588e-34
"KRT76",18.4626532256067,8.52263657828085e-07,0.00144269516177936,1.69451879541175e-36,1.2548225479801e-33
"ZNF788",36993.5970761229,1.46737851209585,0.117380331729662,1.63537556429757e-36,1.2548225479801e-33
"TMEM239",435.813890687823,2.33717286068473,0.190914726750252,9.29239239987303e-36,6.63543191582362e-33
"MDGA2",1026.75490849288,2.87113286086173,0.235927808062907,2.53571036569351e-35,1.74824113971296e-32
"GUCA2B",14.1967030763686,13.6860216938497,3.79079584473045,4.54525025232703e-35,3.02925778483422e-32
"TMEM225",26.9552554532056,7.41228021231387e-07,0.00144269513190019,1.32455236424775e-34,8.54293547444176e-32
"KLK9",902.260446182779,4.01900889826576,0.335188454047668,1.93276271343026e-34,1.17101993007044e-31
"OR10G8",28.544866302876,8.98436407687535e-07,0.0014426951762878,1.92108952452733e-34,1.17101993007044e-31
"MTRNR2L2",64.9566536914725,7.51626967338096e-07,0.00144269513524217,2.6851214660489e-34,1.57900937035829e-31
"OR2T27",23.008707411388,7.68984808306342e-07,0.00144269513898586,2.81799767957678e-34,1.60980130301309e-31
"MAS1",23.3115623899407,7.64849076260967e-07,0.00144269513791418,3.7251444432474e-34,2.06890383328579e-31
"RP11-147C23.1",32.1536332582179,6.9387527729111e-07,0.0014426951204226,1.05991551228492e-32,5.72755425746613e-30
"TMEM236",4827.87491534555,1.36979257612328,0.118082034150372,1.59490454680193e-32,8.39171618651522e-30
"OR2T7",49.8735163743915,7.28414054398927e-07,0.00144269512921074,1.69655278408031e-32,8.69766060638506e-30
"OR5V1",30.2812412985836,13.8541243179509,3.94541047853843,5.29656072613327e-32,2.64748587895772e-29
"KRTAP9-4",28.6479677749012,1.19997212801812e-06,0.00144269528680504,7.01708229524152e-32,3.42194008319656e-29
"LCE4A",27.8239330651684,1.72845418006286e-06,0.00144269554882376,8.44704673874569e-32,4.02119648796384e-29
"PRAMEF15",10.1152671208585,7.93222745548223e-07,0.00144269514395745,1.05994819739561e-31,4.81650096789269e-29
"PRAMEF9",10.1152671208585,7.93222745548223e-07,0.00144269514395745,1.05994819739561e-31,4.81650096789269e-29
"OR8D1",28.2971776519846,6.72158173953964e-07,0.0014426951152331,1.95270914728578e-31,8.67610370907374e-29
"LCN6",2087.2561440725,3.52362465347524,0.309772592413161,2.80433481282884e-31,1.21891022277608e-28
"OR2T1",23.9911741818972,7.73919245417567e-07,0.00144269514033143,3.84824885652889e-31,1.63706143909444e-28
"FLG2",847.505191409911,5.75352443440924,0.510499857979662,8.88640228772164e-31,3.70155681959805e-28
"AKAP4",24.6536686462611,7.24874293020606e-07,0.00144269512785147,2.33350785114267e-30,9.52166448484622e-28
"PRNT",27.2792472066052,6.89559306140299e-07,0.00144269511927334,2.82471585289359e-30,1.12954737525509e-27
"OR8B4",23.0925933266182,6.64127320377062e-07,0.00144269511323421,2.95328594101945e-30,1.15780390401457e-27
"FAM71B",22.5682907661984,7.3458376541619e-07,0.00144269513024394,3.44205547804994e-30,1.3234703313102e-27
"SYNPO2",2281.96599713623,3.17765584344855,0.291980343542518,6.6261924047331e-29,2.49969982906101e-26
"VCX3A",21.5852431359948,7.84976103057282e-07,0.00144269513625228,8.50094458025455e-29,3.14755344328906e-26
"DES",6785.18450733113,6.22604093268999,0.574906930689107,1.23728259752532e-28,4.49785968271296e-26
"OTOL1",18.5877040450523,6.61483311057718e-07,0.00144269511247556,1.42809400709985e-28,5.09880563892042e-26
"RP11-410N8.4",15.8410184093338,6.55015362769858e-07,0.00144269511084267,7.61222862981271e-28,2.67015612674518e-25
"AC004899.1",47.0180279188836,6.490689641006e-07,0.00144269511060951,1.20848898213225e-27,4.16595322564694e-25
"BMP15",16.0808465131367,6.47078202030862e-07,0.00144269510909863,1.49437187147991e-27,5.06414766074056e-25
